current prev next pos lang
inko adi level G_N te 
level inko le G_N en 
le level movie G_N acro 
movie le ipudu G_N en 
ipudu movie oste G_X ne 
oste ipudu na G_V te 
na oste alanti G_PRP te 
alanti na movie G_PRP te 
movie alanti dabidi G_N en 
dabidi movie dibide G_N univ 
dibide dabidi null G_N univ 

@lalitha_nv null yessss @ univ 
yessss @lalitha_nv naku G_PRT en 
naku yessss kuda G_PRP te 
kuda naku very PSP te 
very kuda eager G_R en 
eager very Eppudu G_J en 
Eppudu eager eppudu PSP te 
eppudu Eppudu vastunda PSP te 
vastunda eppudu movie G_V te 
movie vastunda ani G_N en 
ani movie undi G_N te 
undi ani & G_V te 
& undi Inka CC univ 
Inka & first G_N te 
first Inka look G_J en 
look first songs G_V en 
songs look excited G_N en 
excited songs #RAJINIMURUGANfirstBBof2016 G_V en 
#RAJINIMURUGANfirstBBof2016 excited null # univ 

@priyamucharla null andukae @ univ 
andukae @priyamucharla social G_V te 
social andukae media G_J en 
media social lo G_N en 
lo media pics PSP te 
pics lo asalu G_N en 
asalu pics petakudadhu G_N te 
petakudadhu asalu stupid G_R te 
stupid petakudadhu fellows G_J en 
fellows stupid null G_N en 

#AusVsSA null .. # univ 
.. #AusVsSA RABADA G_X univ 
RABADA .. catch G_N univ 
catch RABADA Asalu G_V en 
Asalu catch ....... G_N te 
....... Asalu _/\_ G_X univ 
_/\_ ....... null G_X univ 

#Srimanthudu null cinema # univ 
cinema #Srimanthudu craze G_N en 
craze cinema inka G_J en 
inka craze asalu G_N te 
asalu inka tagaledu G_R te 
tagaledu asalu . G_V te 
. tagaledu 200 G_X univ 
200 . days $ univ 
days 200 ayyindi G_N en 
ayyindi days and G_V te 
and ayyindi 2 CC en 
2 and times $ univ 
times 2 already G_N en 
already times TV G_R en 
TV already lo G_N en 
lo TV vacchindi PSP te 
vacchindi lo . G_V te 
. vacchindi ayina G_X univ 
ayina . ye G_V te 
ye ayina matram G_PRP te 
matram ye tagaledu G_V te 
tagaledu matram craze G_N te 
craze tagaledu null G_J en 

Past null 20 G_J en 
20 Past mins $ univ 
mins 20 nunchi G_N en 
nunchi mins all PSP te 
all nunchi vijay G_SYM en 
vijay all songs G_N univ 
songs vijay ... G_N en 
... songs channel G_X univ 
channel ... peru G_N en 
peru channel telidu G_N te 
telidu peru ... G_V te 
... telidu it G_X univ 
it ... has G_PRP en 
has it sun G_V en 
sun has symbol G_N univ 
symbol sun and G_N en 
and symbol music CC en 
music and symbols G_N en 
symbols music flying G_N en 
flying symbols null G_V en 

#Kabali null Movie # univ 
Movie #Kabali Ela G_N en 
Ela Movie Vuntundo G_N te 
Vuntundo Ela Telidu G_N te 
Telidu Vuntundo Kani G_V te 
Kani Telidu #Rajini CC te 
#Rajini Kani Style G_N univ 
Style #Rajini Oka G_N en 
Oka Style Range G_SYM te 
Range Oka Lo G_N en 
Lo Range Vundi PSP te 
Vundi Lo No G_V te 
No Vundi One DT en 
One No can G_SYM en 
can One Reach G_V en 
Reach can His G_V en 
His Reach Style G_PRP en 
Style His @superstarrajini G_N en 
@superstarrajini Style pic.twitter.com/DFVnokwE6G @ univ 
pic.twitter.com/DFVnokwE6G @superstarrajini null U univ 

Aaaaatttttttt null Asalu PSP te 
Asalu Aaaaatttttttt aa G_N te 
aa Asalu Attitude G_PRP te 
Attitude aa edaithe G_N en 
edaithe Attitude undooo G_PRP te 
undooo edaithe Ustaaddd G_V te 
Ustaaddd undooo ___/\___ G_N ne 
___/\___ Ustaaddd pic.twitter.com/KDzrAodAx2 G_N univ 
pic.twitter.com/KDzrAodAx2 ___/\___ null U univ 

Okappudu null N G_N te 
N Okappudu vs G_N ne 
vs N M G_N ne 
M vs but G_N ne 
but M eppudu CC en 
eppudu but it's G_R te 
it's eppudu official G_N en 
official it's rebel G_J en 
rebel official vs G_N univ 
vs rebel super PSP en 
super vs #sivaratriBoxOffice G_N univ 
#sivaratriBoxOffice super null # univ 

@upendarreddy3 null raledhu @ univ 
raledhu @upendarreddy3 naaku G_V te 
naaku raledhu reply G_PRP te 
reply naaku null G_N en 

@maddyy025 null yea @ univ 
yea @maddyy025 even G_PRT univ 
even yea I G_R univ 
I even am G_PRP univ 
am I not G_V univ 
not am interested G_R univ 
interested not in G_V univ 
in interested philosophical PSP univ 
philosophical in naaku G_J en 
naaku philosophical ilaanti G_N te 
ilaanti naaku telugu G_N te 
telugu ilaanti books G_N univ 
books telugu eh G_N univ 
eh books interest G_V univ 
interest eh null G_N univ 

@sunnyvar null take @ univ 
take @sunnyvar it G_V univ 
it take easy G_PRP univ 
easy it sunnyvar G_J univ 
sunnyvar easy sir G_N ne 
sir sunnyvar balayya G_N en 
balayya sir speech G_N te 
speech balayya fans G_N en 
fans speech ni G_N en 
ni fans eppudu G_V univ 
eppudu ni disappoint G_PRP te 
disappoint eppudu cheyyadu G_V en 
cheyyadu disappoint @MSKumar143 G_N univ 
@MSKumar143 cheyyadu null @ univ 

" null Asalu G_X univ 
Asalu " aa G_N te 
aa Asalu Pk G_N univ 
Pk aa ki G_N univ 
ki Pk em G_N univ 
em ki English G_PRP univ 
English em vasyadira G_N univ 
vasyadira English , G_N univ 
, vasyadira National G_X univ 
National , interview G_N en 
interview National ovbadaniki G_N univ 
ovbadaniki interview #PSPKInterview G_N te 
#PSPKInterview ovbadaniki " # univ 
" #PSPKInterview null G_X univ 

" null @neeku_enduku G_X univ 
@neeku_enduku " sir @ univ 
sir @neeku_enduku , G_N en 
, sir meeru G_X univ 
meeru , shekhar G_X te 
shekhar meeru news G_N univ 
news shekhar ni G_N en 
ni news elagaina PSP te 
elagaina ni ban PSP te 
ban elagaina cheyyinchandi G_N en 
cheyyinchandi ban . G_V te 
. cheyyinchandi eppudu G_X univ 
eppudu . false PSP te 
false eppudu news G_J en 
news false vesthu G_N en 
vesthu news untaaru G_V te 
untaaru vesthu " G_V te 
" untaaru null G_X univ 

@mad_bwoyy null @sensiitive_boy @ univ 
@sensiitive_boy @mad_bwoyy elanti @ univ 
elanti @sensiitive_boy valani G_PRP te 
valani elanti chestaro G_N te 
chestaro valani telidu G_N te 
telidu chestaro kani G_V te 
kani telidu girls CC te 
girls kani dont G_N en 
dont girls like G_V en 
like dont self G_V en 
self like proclaimed G_N en 
proclaimed self sensitive G_V en 
sensitive proclaimed ppl G_J en 
ppl sensitive null G_N ne 

@mahesh_ee null @untrustely @ univ 
@untrustely @mahesh_ee hurrayyyy @ univ 
hurrayyyy @untrustely naaku G_PRT acro 
naaku hurrayyyy thodu G_PRP te 
thodu naaku dhorikesadu PSP te 
dhorikesadu thodu .. G_V te 
.. dhorikesadu Now G_X univ 
Now .. come G_R en 
come Now Sam G_V en 
Sam come fans G_N univ 
fans Sam will G_N en 
will fans see G_V en 
see will u G_V en 
u see r G_PRP ne 
r u end G_V ne 
end r null G_N en 

@PSPKFan2You null maaku @ univ 
maaku @PSPKFan2You ade G_PRP te 
ade maaku kavali G_PRP te 
kavali ade eppudu G_V te 
eppudu kavali can't PSP te 
can't eppudu wait G_V en 
wait can't to G_V en 
to wait watch PSP en 
watch to God G_V en 
God watch on G_N en 
on God screen PSP en 
screen on .. G_N en 
.. screen null G_X univ 

Ha null ha G_PRT univ 
ha Ha Bangla G_PRT univ 
Bangla ha fans G_N univ 
fans Bangla Reactions G_N en 
Reactions fans Rofl G_N en 
Rofl Reactions asalu G_PRT acro 
asalu Rofl null G_R te 

Nenu null de G_PRP te 
de Nenu debe PSP te 
debe de estar G_X ne 
estar debe cortando G_N ne 
cortando estar las G_N ne 
las cortando pelotas G_N ne 
pelotas las null G_N ne 

Allu null Arjun G_N univ 
Arjun Allu Keka G_N univ 
Keka Arjun asalu G_J te 
asalu Keka okka G_N te 
okka asalu song G_SYM te 
song okka kosam G_N en 
kosam song 10days(5days G_V te 
10days(5days kosam travel+5days $ univ 
travel+5days 10days(5days shoot G_N univ 
shoot travel+5days ) G_N en 
) shoot spend G_X univ 
spend ) chestunadu G_V en 
chestunadu spend idhe G_N te 
idhe chestunadu gap G_PRP te 
gap idhe lo G_N en 
lo gap ma PSP te 
ma lo charan G_PRP te 
charan ma 4 G_N univ 
4 charan songs $ univ 
songs 4 teesevadu G_N en 
teesevadu songs _/\_ G_V te 
_/\_ teesevadu null G_X univ 

Kushi null 2 G_N univ 
2 Kushi Aakula $ univ 
Aakula 2 siva G_N te 
siva Aakula story/dialouges G_N univ 
story/dialouges siva aa G_N en 
aa story/dialouges emanna G_X te 
emanna aa matching G_PRP te 
matching emanna vunda G_V en 
vunda matching asalu G_N te 
asalu vunda _/\_ G_N te 
_/\_ asalu https:// G_X univ 
https:// _/\_ twitter.com/ramjowrites/st U univ 
twitter.com/ramjowrites/st https:// atus/709004738717569024 U univ 
atus/709004738717569024 twitter.com/ramjowrites/st null # univ 

@hydcollections null #SCN @ univ 
#SCN @hydcollections Kirak G_N univ 
Kirak #SCN asalu G_J te 
asalu Kirak ninna G_N te 
ninna asalu 9k+ G_N te 
9k+ ninna undi $ univ 
undi 9k+ eroju G_V te 
eroju undi http:// G_N te 
http:// eroju m U univ 
m http:// . G_V ne 
. m show G_X univ 
show . 11k+ G_V en 
11k+ show ante $ univ 
ante 11k+ adi G_N te 
adi ante 49th G_PRP te 
49th adi day G_J univ 
day 49th ;-) G_N en 
;-) day null E univ 

Raja null cinema G_N univ 
cinema Raja music G_N en 
music cinema keka G_N en 
keka music asalu G_X te 
asalu keka ..... G_X te 
..... asalu Climax G_X univ 
Climax ..... lo G_N en 
lo Climax venky PSP univ 
venky lo acting G_N univ 
acting venky keku G_V en 
keku acting keka G_PRP te 
keka keku null G_PRT te 

@chaitanyakrk null Nenu @ univ 
Nenu @chaitanyakrk twitter G_X te 
twitter Nenu lo G_N en 
lo twitter undatam G_N univ 
undatam lo Meeku G_X te 
Meeku undatam istam G_X te 
istam Meeku leda G_X te 
leda istam ? G_X te 
? leda Aa G_X univ 
Aa ? cinema G_X te 
cinema Aa asalu G_N en 
asalu cinema kadu G_X te 
kadu asalu null G_X te 

" null @srisahu10 null univ 
@srisahu10 " eppudu @ univ 
eppudu @srisahu10 enni G_X te 
enni eppudu saarlu G_X te 
saarlu enni vinna G_X te 
vinna saarlu same G_X te 
same vinna feel G_J en 
feel same """ G_V en 
""" feel null null univ 

#rc10 null shooting # univ 
shooting #rc10 emaindi G_V en 
emaindi shooting asalu G_X te 
asalu emaindi . G_X te 
. asalu updates G_X univ 
updates . levu G_N en 
levu updates null G_X te 

@Sama_Gautham null @Iam4Prabhas @ univ 
@Iam4Prabhas @Sama_Gautham @prabhas_ganga @ univ 
@prabhas_ganga @Iam4Prabhas addede @ univ 
addede @prabhas_ganga ... G_X en 
... addede asalu G_X univ 
asalu ... base G_J te 
base asalu shift G_N en 
shift base kadu G_N en 
kadu shift sami G_N te 
sami kadu ... G_X en 
... sami thanakantu G_X univ 
thanakantu ... following G_PRP te 
following thanakantu thechkunadu G_V en 
thechkunadu following ... G_X te 
... thechkunadu kushi G_X univ 
kushi ... nundi G_N univ 
nundi kushi ... G_X te 
... nundi entidi G_X univ 
entidi ... null G_N te 

@nithin_111 null @iam__praneeth @ univ 
@iam__praneeth @nithin_111 correct @ univ 
correct @iam__praneeth oo G_J en 
oo correct kaado G_PRT univ 
kaado oo telidu G_X te 
telidu kaado le G_X te 
le telidu ivi G_X te 
ivi le oksari G_X te 
oksari ivi correct G_X te 
correct oksari cheyyu G_J en 
cheyyu correct null G_X te 

" null Ikada null univ 
Ikada " oopiri G_N te 
oopiri Ikada adatledu G_N te 
adatledu oopiri baitiki G_X te 
baitiki adatledu tesukelu G_X te 
tesukelu baitiki dialogue G_N te 
dialogue tesukelu from G_N en 
from dialogue nag PSP en 
nag from @iamnagarjuna G_N univ 
@iamnagarjuna nag super @ univ 
super @iamnagarjuna asalu G_R en 
asalu super #Oopiri G_J te 
#Oopiri asalu """ # univ 
""" #Oopiri null null univ 

" null JAGAN null univ 
JAGAN " gari G_N univ 
gari JAGAN vastu G_N te 
vastu gari nu G_N en 
nu vastu YSRCP G_X te 
YSRCP nu vastava G_N univ 
vastava YSRCP paristitini G_X te 
paristitini vastava eppudu G_X te 
eppudu paristitini cheppina G_X te 
cheppina eppudu SREE G_X te 
SREE cheppina SUDARSANA G_N univ 
SUDARSANA SREE VASTU G_N univ 
VASTU SUDARSANA marinni G_X te 
marinni VASTU vivaralaku G_X te 
vivaralaku marinni ee G_X te 
ee vivaralaku twitter G_X te 
twitter ee lo G_N en 
lo twitter pic.twitter.com/k5wA4kz1aG G_X te 
pic.twitter.com/k5wA4kz1aG lo """ U univ 
""" pic.twitter.com/k5wA4kz1aG null null univ 

@sasankaPK_sayz null hmm @ univ 
hmm @sasankaPK_sayz . G_PRT univ 
. hmm Chaduvuko G_X univ 
Chaduvuko . sastry G_X te 
sastry Chaduvuko 2-Apr G_N en 
2-Apr sastry exams null univ 
exams 2-Apr eppudu G_N en 
eppudu exams null G_X te 

@143_mansoor null @SuryaNandepu @ univ 
@SuryaNandepu @143_mansoor eppudu @ univ 
eppudu @SuryaNandepu soon G_R te 
soon eppudu news G_R en 
news soon Lena G_N en 
Lena news ??? G_X univ 
??? Lena Cnfrm G_X univ 
Cnfrm ??? ainaka G_N en 
ainaka Cnfrm matladukumdam G_X te 
matladukumdam ainaka bro G_X te 
bro matladukumdam null G_N en 

@bkrsatish null #SardaarGabbarSingh @ univ 
#SardaarGabbarSingh @bkrsatish Audio # univ 
Audio #SardaarGabbarSingh Eppudu G_N en 
Eppudu Audio bro G_X te 
bro Eppudu ? G_N en 
? bro null G_X univ 

@wasimakram_pspk null naaku @ univ 
naaku @wasimakram_pspk perugu G_PRT te 
perugu naaku istam G_N te 
istam perugu undadhu G_X en 
undadhu istam null G_X te 

@tumbri1234 null suicide @ univ 
suicide @tumbri1234 anna G_N en 
anna suicide seddi G_X te 
seddi anna anna G_X univ 
anna seddi naaku G_X te 
naaku anna maa G_X te 
maa naaku sedda G_X en 
sedda maa siraku G_X te 
siraku sedda that G_X te 
that siraku hppnd PSP en 
hppnd that while G_V en 
while hppnd driving PSP en 
driving while null G_V en 

Dheena**a null emanna DT univ 
emanna Dheena**a comedy G_X te 
comedy emanna ah G_N en 
ah comedy asalu G_PRT univ 
asalu ah https:// G_X te 
https:// asalu twitter.com/htTweets/statu U univ 
twitter.com/htTweets/statu https:// s/705971125507923970 U univ 
s/705971125507923970 twitter.com/htTweets/statu null null univ 

@srikanth_ntr1 null @MSKumar143 @ univ 
@MSKumar143 @srikanth_ntr1 baa @ univ 
baa @MSKumar143 idea G_X univ 
idea baa endo G_N en 
endo idea telidu G_X te 
telidu endo kaani G_X te 
kaani telidu nuvvu G_X te 
nuvvu kaani anaavante G_X te 
anaavante nuvvu correctee G_X te 
correctee anaavante null G_N en 

Watsapp null group G_N en 
group Watsapp lo G_N en 
lo group north PSP te 
north lo girls G_J en 
girls north boys G_N en 
boys girls flirting G_N en 
flirting boys peaks G_V en 
peaks flirting asalu G_N en 
asalu peaks null G_X te 

@books_thief null U @ univ 
U @books_thief R G_PRP univ 
R U so G_V univ 
so R advanced G_R en 
advanced so girl G_J en 
girl advanced .. G_N en 
.. girl thats G_X univ 
thats .. why G_N en 
why thats I G_R en 
I why called G_PRP en 
called I U G_V en 
U called TWITTER G_PRP en 
TWITTER U QUEEN G_N en 
QUEEN TWITTER .. G_N en 
.. QUEEN of G_X univ 
of .. course PSP en 
course of naaku G_N en 
naaku course teliyaka G_X te 
teliyaka naaku mundu G_X te 
mundu teliyaka nunche G_X te 
nunche mundu ;) G_X te 
;) nunche null E univ 

" null @iam_prakky null univ 
@iam_prakky " 57k @ univ 
57k @iam_prakky na null univ 
na 57k super PSP te 
super na Asalu G_R en 
Asalu super ee G_X te 
ee Asalu roju G_X te 
roju ee match G_N te 
match roju pettukoni G_N en 
pettukoni match kuda G_X te 
kuda pettukoni ".," G_X te 
".," kuda " G_X univ 
" ".," null null univ 

@prashantbme null @pratyusha @ univ 
@pratyusha @prashantbme adhi @ univ 
adhi @pratyusha Sonu G_X te 
Sonu adhi nigam G_N univ 
nigam Sonu song G_N te 
song nigam aa G_N en 
aa song intha G_X te 
intha aa daaka G_X te 
daaka intha telidu G_X te 
telidu daaka . G_X te 
. telidu But G_X univ 
But . aa CC en 
aa But tune DT univ 
tune aa koncham G_N en 
koncham tune irritating G_R te 
irritating koncham gaane G_J en 
gaane irritating untundi G_N te 
untundi gaane . G_X te 
. untundi null G_X univ 

@rudy_124 null haha @ univ 
haha @rudy_124 .. G_PRT en 
.. haha Chaala G_X univ 
Chaala .. saarlu G_X te 
saarlu Chaala naaku G_X univ 
naaku saarlu idhe G_X te 
idhe naaku question G_X te 
question idhe osthundi G_N en 
osthundi question konni G_X te 
konni osthundi tweets G_X te 
tweets konni ki G_N en 
ki tweets . G_X te 
. ki null G_X univ 

" null Eifel null univ 
Eifel " Tower G_N en 
Tower Eifel "," G_N en 
"," Tower Pawan G_X univ 
Pawan "," Kalyan G_N univ 
Kalyan Pawan Power G_N univ 
Power Kalyan Eppudu G_N en 
Eppudu Power alane G_X te 
alane Eppudu untayi G_X te 
untayi alane ! G_X te 
! untayi #SGSAudioOnMarch18th G_X univ 
#SGSAudioOnMarch18th ! " # univ 
" #SGSAudioOnMarch18th null null univ 

@ahiteja666 null eppudu @ univ 
eppudu @ahiteja666 movie G_X te 
movie eppudu release G_N en 
release movie ?? G_N en 
?? release @sharrath_marar G_X univ 
@sharrath_marar ?? null @ univ 

@vv0954vishnu null no @ univ 
no @vv0954vishnu bro DT en 
bro no .. G_N en 
.. bro Asalu G_X univ 
Asalu .. craze G_X te 
craze Asalu e G_N en 
e craze ledu G_X univ 
ledu e .. G_X te 
.. ledu Memantha G_X univ 
Memantha .. fans G_X te 
fans Memantha e G_N en 
e fans kaadu G_V univ 
kaadu e .. G_X te 
.. kaadu Memu G_X univ 
Memu .. fdfs G_PRP en 
fdfs Memu lu G_X univ 
lu fdfs chudatledu G_N univ 
chudatledu lu .. G_X te 
.. chudatledu Openings G_X univ 
Openings .. teppinchatledu G_N en 
teppinchatledu Openings .. G_X te 
.. teppinchatledu Mb G_X univ 
Mb .. ki G_N univ 
ki Mb craze G_N te 
craze ki e G_N en 
e craze ledu G_X univ 
ledu e null G_X te 

@bkrsatish null audio @ univ 
audio @bkrsatish eppudu G_N en 
eppudu audio bro G_X te 
bro eppudu null G_N en 

eppudu null start G_X te 
start eppudu chesina G_V en 
chesina start cinema G_X te 
cinema chesina idi G_N en 
idi cinema ? G_X te 
? idi DOP G_X univ 
DOP ? chala G_X univ 
chala DOP teda G_X te 
teda chala kodtundi G_X te 
kodtundi teda ... G_X te 
... kodtundi https://www ~ univ 
https://www ... . U univ 
. https://www youtube.com/watch?v=LoLMEW G_X univ 
youtube.com/watch?v=LoLMEW . IEYyg&feature U univ 
IEYyg&feature youtube.com/watch?v=LoLMEW = G_N univ 
= IEYyg&feature youtu.be G_X univ 
youtu.be = #RajadhiRaja U univ 
#RajadhiRaja youtu.be null # univ 

" null @Itsme_Thej null univ 
@Itsme_Thej " telidu @ univ 
telidu @Itsme_Thej YouTube G_X univ 
YouTube telidu lo G_N en 
lo YouTube search G_N univ 
search lo chesa G_V en 
chesa search Suthi G_X te 
Suthi chesa veerabadra G_N te 
veerabadra Suthi rao G_N te 
rao veerabadra comedy G_N univ 
comedy rao ani G_N en 
ani comedy """ G_X te 
""" ani null null univ 

Emi null baaledhu G_X univ 
baaledhu Emi asalu G_X te 
asalu baaledhu cinema G_X te 
cinema asalu waste G_N en 
waste cinema leave G_N en 
leave waste it G_V en 
it leave #GunturTalkies G_PRP en 
#GunturTalkies it null # univ 

Asalu null ilaanti G_X te 
ilaanti Asalu climax G_X te 
climax ilaanti pettaalana G_N en 
pettaalana climax thought G_X te 
thought pettaalana ki G_V en 
ki thought ... G_X te 
... ki kalyan ~ univ 
kalyan ... sir G_N univ 
sir kalyan is G_N en 
is sir very G_V en 
very is naughty G_R en 
naughty very ya G_J en 
ya naughty .. G_PRT en 
.. ya #Kushi G_X univ 
#Kushi .. null # univ 

#Maggi null #Pk # univ 
#Pk #Maggi type # univ 
type #Pk .. G_N en 
.. type A G_X univ 
A .. time DT univ 
time A lo G_N en 
lo time adutado PSP te 
adutado lo yavariki G_N te 
yavariki adutado telidu G_X te 
telidu yavariki null G_X te 

" null @talidu null univ 
@talidu " Cada @ univ 
Cada @talidu nuevo G_N te 
nuevo Cada dia G_N univ 
dia nuevo es G_N en 
es dia una G_N univ 
una es oportunidad G_X univ 
oportunidad una ! G_N te 
! oportunidad Asi G_X univ 
Asi ! que G_X univ 
que Asi piensas G_X univ 
piensas que que G_X univ 
que piensas lo G_X univ 
lo que importante G_X univ 
importante lo no G_X en 
no importante fue G_PRT en 
fue no que G_X univ 
que fue sucedio G_X univ 
sucedio que sino G_X te 
sino sucedio lo G_X univ 
lo sino que G_X te 
que lo esta G_X univ 
esta que por G_X en 
por esta venir G_X univ 
venir por """ G_X univ 
""" venir null null univ 

@priyamucharla null vammo @ univ 
vammo @priyamucharla Peru G_PRT te 
Peru vammo vinagaane G_N te 
vinagaane Peru bayankaramaina G_N te 
bayankaramaina vinagaane title G_X te 
title bayankaramaina song G_N en 
song title gurthochindhi G_N en 
gurthochindhi song gd G_X te 
gd gurthochindhi n8 G_X univ 
n8 gd * G_X univ 
* n8 nenem G_X univ 
nenem * adagaledu G_X te 
adagaledu nenem naakem G_X te 
naakem adagaledu telidu G_X te 
telidu naakem * G_X te 
* telidu null G_X univ 

@urstrulIyMahesh null Haha @ univ 
Haha @urstrulIyMahesh mamool G_PRT en 
mamool Haha cinema G_N univ 
cinema mamool kadhu G_N en 
kadhu cinema asalu G_X te 
asalu kadhu null G_X te 

@Neeraj_Gudapati null kanhaiya @ univ 
kanhaiya @Neeraj_Gudapati kumar G_PRT te 
kumar kanhaiya gadi G_N univ 
gadi kumar vidula G_N te 
vidula gadi speech G_X univ 
speech vidula repeats G_N en 
repeats speech in G_V en 
in repeats NDTV PSP en 
NDTV in with G_N univ 
with NDTV claps PSP en 
claps with .. G_N en 
.. claps asalu G_X univ 
asalu .. em G_X te 
em asalu jarugutondo G_PRP te 
jarugutondo em erukatledu G_X te 
erukatledu jarugutondo null G_X te 

" null via null univ 
via " endhi PSP en 
endhi via ra G_X te 
ra endhi asalu G_X te 
asalu ra "," G_X te 
"," asalu comedy G_X univ 
comedy "," ga G_N en 
ga comedy " G_X te 
" ga null null univ 

@pavandarling26 null khaleja @ univ 
khaleja @pavandarling26 4.18 G_N univ 
4.18 khaleja bro null univ 
bro 4.18 day G_N en 
day bro mari G_N en 
mari day anthakante G_X te 
anthakante mari mundhu G_X te 
mundhu anthakante edi G_X te 
edi mundhu undo G_X te 
undo edi record G_V en 
record undo telidu G_N en 
telidu record naaku G_X te 
naaku telidu @Sama_Gautham G_X te 
@Sama_Gautham naaku @jchanukya @ univ 
@jchanukya @Sama_Gautham @Mirchi_Prabhas @ univ 
@Mirchi_Prabhas @jchanukya null @ univ 

Nenu null nunchunna G_X te 
nunchunna Nenu place G_X te 
place nunchunna Edaina G_N en 
Edaina place station G_X te 
station Edaina aipoddiroo/m\ G_N en 
aipoddiroo/m\ station pic.twitter.com/4RaXLABDQl G_X te 
pic.twitter.com/4RaXLABDQl aipoddiroo/m\ null U univ 

Vaarni null first G_N te 
first Vaarni time G_J en 
time first ke G_N en 
ke time vachindi G_X te 
vachindi ke naaku G_X te 
naaku vachindi @TheFunnyTeens G_X te 
@TheFunnyTeens naaku pic.twitter.com/uzCZYH01kv @ univ 
pic.twitter.com/uzCZYH01kv @TheFunnyTeens null U univ 

@Ntrfan_ null ntr @ univ 
ntr @Ntrfan_ look G_X univ 
look ntr eppudu G_V en 
eppudu look release DT te 
release eppudu chestharu G_N en 
chestharu release null G_X te 

#24Teaser null RaviAKP # univ 
RaviAKP #24Teaser ki G_X univ 
ki RaviAKP EE G_X univ 
EE ki cinema G_N te 
cinema EE ardhamavudda G_N en 
ardhamavudda cinema asalu G_X te 
asalu ardhamavudda ... G_X te 
... asalu kikiki G_X univ 
kikiki ... null G_X univ 

@leelu_moganti null @ntrdevotee007 @ univ 
@ntrdevotee007 @leelu_moganti no @ univ 
no @ntrdevotee007 chance DT en 
chance no bro G_N en 
bro chance . G_N en 
. bro Asalu G_X univ 
Asalu . tagganu G_X te 
tagganu Asalu null G_X te 

@tharungstars null HiFi @ univ 
HiFi @tharungstars bro G_N en 
bro HiFi Upma G_N en 
Upma bro viluva G_N univ 
viluva Upma e PSP en 
e viluva paadu G_X univ 
paadu e samajaniki G_X te 
samajaniki paadu telidu G_X te 
telidu samajaniki null G_X en 

@Kareem_CPT null @alwayscharan4u @ univ 
@alwayscharan4u @Kareem_CPT avna @ univ 
avna @alwayscharan4u naa G_PRT te 
naa avna education G_PRT te 
education naa life G_N en 
life education lo G_N en 
lo life form PSP te 
form lo filling G_N en 
filling form lo G_V en 
lo filling thappa PSP te 
thappa lo eppudu G_X te 
eppudu thappa evaru G_X te 
evaru eppudu adagala G_X te 
adagala evaru nannu G_X te 
nannu adagala caste G_X te 
caste nannu gurinchi G_N en 
gurinchi caste null G_X te 

Sateesh null anna G_N univ 
anna Sateesh Info's G_N te 
Info's anna 50-50 G_N en 
50-50 Info's chances null univ 
chances 50-50 epudu G_N en 
epudu chances eci G_X te 
eci epudu correct G_X univ 
correct eci avtayo G_J en 
avtayo correct evi PSP te 
evi avtayo wrong G_X univ 
wrong evi aytayo G_J en 
aytayo wrong telidu G_X te 
telidu aytayo null G_X te 

Powerstar null cinemalo G_N univ 
cinemalo Powerstar megastar G_N en 
megastar cinemalo references G_N en 
references megastar ... G_N en 
... references idi G_X univ 
idi ... kada G_X te 
kada idi asalu G_X te 
asalu kada TRUE G_X te 
TRUE asalu mega G_J en 
mega TRUE fans G_J en 
fans mega ki G_N en 
ki fans kavalsina G_X te 
kavalsina ki emotionu G_X te 
emotionu kavalsina . G_X en 
. emotionu #SardaarGabbarsingh G_X univ 
#SardaarGabbarsingh . null # univ 

@RGVPURI null skn @ univ 
skn @RGVPURI tweet G_X en 
tweet skn Ni G_V en 
Ni tweet quote G_X te 
quote Ni chesi G_N en 
chesi quote nuvu G_X te 
nuvu chesi pr G_X te 
pr nuvu a G_X univ 
a pr na DT univ 
na a asalu G_X univ 
asalu na ani G_X te 
ani asalu anadhi G_X te 
anadhi ani later G_X te 
later anadhi delete G_R en 
delete later chesi G_V en 
chesi delete hyper G_R te 
hyper chesi tweets G_J en 
tweets hyper esindhi G_N en 
esindhi tweets null G_X te 

@JalapathyG null oopiri @ univ 
oopiri @JalapathyG trailer G_N te 
trailer oopiri rls G_N en 
rls trailer eppudu G_N univ 
eppudu rls sir G_X te 
sir eppudu ?? G_N en 
?? sir null G_X univ 

@g_pawanfan null Bayata @ univ 
Bayata @g_pawanfan 90% G_X te 
90% Bayata janalaki null univ 
janalaki 90% heroine G_X te 
heroine janalaki evaro G_X en 
evaro heroine telidhu G_X te 
telidhu evaro cinemalo G_X univ 
cinemalo telidhu just G_X en 
just cinemalo pawan G_R en 
pawan just cinema G_N univ 
cinema pawan idhi G_N en 
idhi cinema ani G_X te 
ani idhi telsu G_X te 
telsu ani anthe G_X te 
anthe telsu dir G_X te 
dir anthe kuda G_X univ 
kuda dir evadki G_X te 
evadki kuda telidu G_X te 
telidu evadki null G_X univ 

Niti null fans G_N univ 
fans Niti new G_N en 
new fans logic G_J en 
logic new Every G_N en 
Every logic new DT en 
new Every cess G_J en 
cess new is G_N univ 
is cess linked G_V en 
linked is to G_V en 
to linked gst PSP en 
gst to .... G_N univ 
